site_id,year,N_fert_grower,N_fert_reduced,dul_dep,ll15_dep,root_depth,whc,LAI_max,rain_annual,day_sow,swdef_photo_fw,swdef_expan_fw,swdef_pheno_fw,L1,day_v5,sw_dep_v5,biomass_v5,surfaceom_wt_v5,root_wt_v5,lai_v5,oc_20cm_v5,oc_40cm_v5,n_20cm_v5,n_40cm_v5,n_60cm_v5,n_0_60cm_v5,n_deep_v5,esw_pct_v5,water_table_v5,sand_40cm,om_40cm,clay_40cm,restriction,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,rad_1,rad_2,rad_3,rad_4,rad_5,rad_6,Y_corn_lt_avg,lat,long,P,junk1,junk2,junk3,junk4,junk5,junk6,junk7,junk8,junk9,junk10,junk11,junk12,junk13,junk14,junk15
386,2017,210,170,621.9,352.2,NA,269.7,3.521,1143,95,0.8402,0.6106,1,15.63,131,724.4,722.9,258.1,681.7,0.539,1.282,1.229,2.263,6.346,11.52,20.13,25.71,1,18.4,3.844,2.061,33.46,NA,215,356,67,111,28,366,6.282,15.88,NA,24.1,25.55,14.7,NA,18.2,NA,20.44,19.85,12.73,11940,38.53,-87.64,NA,29,9.29,201022,18.9,13,5.81,7.56,24.1,F5,F1,0,NA,50,122,F2
396,2018,230,190,NA,NA,NA,341.1,3.551,1445,95,1,1,1,NA,134,631.9,606.5,345.3,789.6,0.534,2.158,2.142,NA,NA,10.31,22.94,23.99,1,NA,7.599,3.554,27.71,250,463,69,132,182,3,596,2.271,13.95,24.3,25.62,26.78,15.21,11.08,20.72,19.5,17.76,22.25,NA,12220,38.38,-87.86,1731,41,9.29,174540,30.3,10,5.81,18.9,4.01,F3,F2,0,0,4,122,F1
402,2017,200,160,404.5,171.6,1596,232.8,3.309,1086,94,0.5899,0.2263,1,38.54,130,480.7,726.5,262.7,656.8,NA,2.004,1.951,3.059,5.175,NA,15.24,12.57,1,2000,47.99,3.241,19.06,250,220,381,64,92,23,306,6.473,15.79,21.48,24.14,25.66,NA,11.3,18.2,21.43,21.01,NA,12.87,10770,38.34,-87.91,NA,21,9.29,202373,30.3,10,5.81,11.3,4.01,F3,F2,0,0,40,122,F1
403,2018,230,190,494.2,201.4,1609,292.8,3.518,1617,94,1,NA,1,81.94,134,513.4,607.2,339.3,748.9,0.5293,2.529,2.519,7.093,9.554,11.53,28.18,22.28,0.9976,2000,31,4.184,NA,250,492,95,179,219,NA,611,2.404,13.96,NA,NA,26.93,NA,11.05,NA,19.03,17.54,21.51,12.52,11790,38.36,-87.87,1613,41,NA,277390,18.9,13,5.81,NA,24.1,F5,F1,0,0,30,NA,NA
415,2017,200,160,604.1,318.8,1583,285.3,2.916,995,95,0.8059,0.5377,1,NA,NA,689.4,784.1,289.6,668,0.5614,1.542,1.458,NA,4.147,6.091,NA,10.28,NA,2000,6.202,2.413,25.05,250,169,347,30,62,35,NA,6.766,15.85,21.49,24.29,25.71,14.81,11.42,18.32,22.04,20.87,20.11,12.67,11450,38.17,-88.08,1022,27,9.29,271603,11.3,4,9.68,15.1,8.03,NA,F2,0,0,24,NA,F1
416,2018,220,180,621.3,346.6,1578,274.7,NA,1501,95,1,1,1,42.16,134,663.1,647,380.7,826.5,0.544,2.018,1.963,3.517,5.196,6.918,15.63,20.86,NA,2000,18.96,3.27,27.76,250,481,108,NA,130,NA,665,2.489,14.14,24.18,25.62,26.78,15.06,NA,20.93,19.77,17.7,21.85,12.44,11370,38.13,-88.1,1685,45,NA,37306,NA,13,5.81,18.9,4.01,NA,F2,0,0,45,122,NA
445,2017,200,160,579.6,NA,1591,NA,3.207,1101,97,NA,0.7338,1,11.08,NA,648.7,750.6,NA,599.5,0.5405,1.208,1.141,2.017,3.466,5.099,10.58,10.32,1,2000,7.147,1.89,21.38,250,229,391,43,71,58,309,7.026,16.15,21.41,NA,25.88,14.74,11.24,NA,21.84,20.92,19.41,12.79,12210,NA,-88.48,NA,27,9.29,193898,18.9,13,5.81,22.7,4.01,F5,F2,0,0,45,122,F2
448,2018,200,160,672.9,488.6,1574,NA,3.481,1461,97,NA,0.6735,1,36.09,134.6,730.3,610.7,338.8,795,0.5316,1.384,1.328,NA,4.627,7.25,14.58,22.77,1,2000,7.074,2.208,35.52,250,481,119.9,131.1,103,31,595,2.768,14.73,24.13,25.7,26.83,14.86,11.38,20.39,18.89,17.79,20.87,12.52,9882,37.89,-88.47,1388,73,15.5,NA,22.7,9,5.81,NA,24.1,F5,NA,0,0,25,122,F1
453,2017,200,160,606,334,NA,271.9,3.499,1118,97,0.8195,0.5651,1,10.76,132,687.1,769.3,245.6,579.7,0.549,0.8929,0.8059,1.9,4.372,8.396,14.67,NA,1,2000,7.252,NA,16.17,90.52,223,369,53,NA,63,334,NA,16.19,21.28,23.93,25.92,14.77,11.2,18.64,NA,20.97,19.33,12.79,11770,37.8,NA,1424,51,3.1,NA,22.7,9,5.81,1.89,NA,F5,F2,0,NA,40,122,F2
457,2018,210,170,579.4,318.4,1599,261,3.52,1475,97,0.9552,0.8945,1,46.37,134.3,620.2,NA,352.1,755.8,0.5193,NA,1.509,3.396,5.692,8.669,17.76,NA,1,2000,5.87,2.517,24.44,218,490,103,144,132,25,581,2.948,14.71,24.12,25.7,26.86,14.93,11.33,NA,19.05,17.6,21.18,12.54,10930,37.81,-88.33,1502,51,12.4,NA,17,11,9.68,1.89,NA,NA,F1,0,0,NA,NA,F1
